,MSSubClass,MSZoning,Neighborhood,Condition1,HouseStyle,OverallQual,YearBuilt,Exterior1st,MasVnrType,ExterQual,Foundation,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
0,60,3,5,2,5,7,2003,13,1,2,2,2,856.0,856,1710,2,2,8,548.0,208500
0,20,2,12,1,2,5,1961,13,2,3,1,4,882.0,896,896,1,3,5,730.0,208500
1,20,3,24,1,2,6,1976,8,2,3,1,2,1262.0,1262,1262,2,3,6,460.0,181500
1,20,3,12,2,2,6,1958,14,1,3,1,4,1329.0,1329,1329,1,2,6,312.0,181500
2,60,3,5,2,5,7,2001,13,1,2,2,2,920.0,920,1786,2,2,6,608.0,223500
3,70,3,6,2,5,7,1915,14,2,3,0,4,756.0,961,1717,1,2,7,642.0,140000
4,60,3,15,2,5,8,2000,13,1,2,2,2,1145.0,1145,2198,2,2,9,836.0,250000
5,50,3,11,2,0,5,1993,13,2,3,5,2,796.0,796,1362,1,3,5,480.0,143000
6,20,3,21,2,2,8,2004,13,3,2,2,0,1686.0,1694,1694,2,2,7,636.0,307000
7,60,3,14,4,5,7,1973,6,3,3,1,2,1107.0,1107,2090,2,3,7,484.0,200000
8,50,4,17,0,0,7,1931,3,2,3,0,4,952.0,1022,1774,2,3,8,468.0,129900
9,190,3,3,0,1,5,1939,8,2,3,0,4,991.0,1077,1077,1,3,5,205.0,118000
10,20,3,19,2,2,5,1965,6,2,3,1,4,1040.0,1040,1040,1,3,5,384.0,129500
11,60,3,16,2,5,9,2005,15,3,0,2,0,1175.0,1182,2324,3,0,11,736.0,345000
12,20,3,19,2,2,5,1962,6,2,3,1,4,912.0,912,912,1,3,4,352.0,144000
13,20,3,5,2,2,7,2006,13,3,2,2,2,1494.0,1494,1494,2,2,7,840.0,279500
14,20,3,12,2,2,6,1960,8,1,3,1,4,1253.0,1253,1253,1,3,5,352.0,157000
15,45,4,3,2,1,7,1929,14,2,3,0,4,832.0,854,854,1,3,5,576.0,132000
16,20,3,12,2,2,6,1970,14,1,3,1,4,1004.0,1004,1004,1,3,5,480.0,149000
17,90,3,19,2,2,4,1967,8,2,3,3,3,0.0,1296,1296,2,3,6,516.0,90000
18,20,3,20,5,2,5,2004,13,2,3,2,4,1114.0,1114,1114,1,2,6,576.0,159000
19,20,3,12,2,2,5,1958,3,2,3,1,4,1029.0,1339,1339,1,3,6,294.0,139000
20,60,3,16,2,5,8,2005,13,1,2,2,0,1158.0,1158,2376,3,2,9,853.0,325300
21,45,4,9,2,1,7,1930,14,2,3,2,4,637.0,1108,1108,1,2,6,280.0,139400
22,20,3,5,2,2,8,2002,13,1,2,2,2,1777.0,1795,1795,2,2,7,534.0,230000
23,120,4,10,2,2,5,1976,5,2,3,2,2,1040.0,1060,1060,1,3,6,572.0,129900
